13:42:57 kwargs,  {'id': -1} <class 'dict'>
13:44:43 kwargs,  {'id': 2} <class 'dict'>
13:44:43 debug 1
13:44:43 kwargs,  {'topic_id': 2} <class 'dict'>
13:44:43 kwargs,  {'topic_id': 2} <class 'dict'>
13:44:43 kwargs,  {'id': 5} <class 'dict'>
13:44:43 kwargs,  {'id': 5} <class 'dict'>
13:44:43 kwargs,  {'id': 5} <class 'dict'>
13:44:43 kwargs,  {'id': 5} <class 'dict'>
13:44:43 kwargs,  {'id': 5} <class 'dict'>
13:44:43 kwargs,  {'id': 5} <class 'dict'>
13:44:43 kwargs,  {'id': 5} <class 'dict'>
13:44:43 kwargs,  {'id': 5} <class 'dict'>
